year,month,week,severity_score,outbreak_relevance_score,cases_total,deaths,search_volume_avg,search_volume_max,spike_ratio_max,spike_ratio_avg,baseline_avg,entity_count,location_count,org_count,person_count,date_entity_count,numeric_entity_count,has_who_mention,urgency_score,containment_score,net_urgency,risk_keyword_count,response_keyword_count,escalation_language_flag,word_count,sentence_count,avg_sentence_length,has_disease_in_text,has_country_in_text,disease_risk_score,disease_fatality_weight,disease_outbreak_count,is_peak_season,season_risk,country_outbreak_count,disease_country_count,is_endemic_country,case_fatality_ratio,has_deaths,has_cases,log_cases,log_deaths,cases_per_death,has_trend_data,spike_alert,spike_warning,disease_encoded,season_encoded,spike_level_encoded,escalated
2018,6,23,0,2,16,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,0,0,0,0,7,1,7.0,0,0,0.55,0.3,8,1,0.3,9,1,0,0.0,0,1,2.8332,0.0,0.0,0,0,0,9,2,0,0
2018,5,21,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,13.0,1,1,0.9,0.9,165,1,0.3,61,17,1,0.0,0,0,0.0,0.0,0.0,0,0,0,3,1,0,0
2018,5,18,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,1,1,0,1,0,0,1,0,1,0,0,0,8,1,8.0,1,0,0.5,0.35,51,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,2,1,0,0
2018,3,13,1,5,1613,9,0.0,0.0,0.0,0.0,0.0,4,0,1,0,2,1,0,2,0,2,0,0,1,11,3,3.7,1,1,0.6,0.45,249,0,0.0,14,8,1,0.0056,1,1,7.3865,2.3026,179.22,0,0,0,0,1,0,1
2018,3,10,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,7.0,1,1,0.4,0.25,93,0,0.0,14,3,1,0.0,0,0,0.0,0.0,0.0,0,0,0,11,1,0,0
2018,3,9,2,5,1065,43,0.0,0.0,0.0,0.0,0.0,4,1,1,0,1,1,0,1,0,1,0,0,0,13,2,6.5,1,1,0.6,0.45,249,0,0.0,61,11,1,0.0404,1,1,6.9717,3.7842,24.77,0,0,0,0,1,0,1
2018,2,9,0,2,0,0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,0,0,1,0,1,0,0,0,8,1,8.0,1,1,0.7,0.6,39,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,12,0,0,0
2018,2,8,1,5,1799,1,0.0,0.0,0.0,0.0,0.0,4,0,1,0,2,1,0,2,0,2,0,0,1,11,3,3.7,1,1,0.6,0.45,249,0,0.0,16,13,1,0.0006,1,1,7.4955,0.6931,1799.0,0,0,0,0,0,0,1
2018,1,2,2,4,0,740,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,1,0,2,0,2,0,0,1,13,2,6.5,0,1,0.5,0.4,32,1,0.3,5,1,0,0.0,1,0,0.0,6.608,0.0,0,0,0,4,0,0,1
2017,12,51,2,4,0,45,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,1,0,2,0,2,0,0,1,9,2,4.5,1,1,0.65,0.55,108,0,0.0,27,2,0,0.0,1,0,0.0,3.8286,0.0,0,0,0,14,0,0,1
2017,12,51,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3.0,0,1,0.55,0.3,8,0,0.0,27,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,9,0,0,0
2017,12,50,2,5,547,15,0.0,0.0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,0,2,0,0,1,11,3,3.7,1,1,0.6,0.45,249,0,0.0,8,4,1,0.0274,1,1,6.3063,2.7726,36.47,0,0,0,0,0,0,1
2017,11,45,1,4,3,3,0.0,0.0,0.0,0.0,0.0,5,2,1,0,0,2,0,1,0,1,0,0,0,12,1,12.0,1,1,0.9,0.88,44,0,0.0,62,4,1,1.0,1,1,1.3863,1.3863,1.0,0,0,0,6,3,0,0
2017,11,45,2,5,9029,18,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,1,0,0,0,10,2,5.0,1,1,0.5,0.35,51,0,0.0,28,2,0,0.002,1,1,9.1083,2.9444,501.61,0,0,0,2,3,0,1
2017,10,41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,0,0,1,0,1,0,0,0,9,2,4.5,1,1,0.8,0.75,26,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,10,3,0,0
2017,8,35,1,4,1,1,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,2,0,1,0,1,0,0,0,12,2,6.0,1,1,0.65,0.55,108,0,0.0,1,1,0,1.0,1,1,0.6931,0.6931,1.0,0,0,0,14,2,0,0
2017,8,31,1,4,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,0,0,7,1,7.0,1,0,0.5,0.35,51,1,0.3,14,1,0,0.0,1,0,0.0,1.0986,0.0,0,0,0,2,2,0,0
2017,7,29,1,4,14,1,0.0,0.0,0.0,0.0,0.0,4,0,1,0,1,2,0,2,0,2,0,0,1,11,3,3.7,1,1,0.6,0.45,249,1,0.3,16,3,1,0.0714,1,1,2.7081,0.6931,14.0,0,0,0,0,2,0,0
2017,7,29,2,5,80732,215,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,2,0,1,0,1,0,0,0,10,2,5.0,1,1,0.5,0.35,51,1,0.3,2,1,0,0.0027,1,1,11.2989,5.3753,375.5,0,0,0,2,2,0,1
2017,7,28,2,5,1558,11,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,1,0,0,0,8,2,4.0,1,1,0.6,0.45,249,1,0.3,27,10,1,0.0071,1,1,7.3518,2.4849,141.64,0,0,0,0,2,0,1
2017,7,27,2,4,31,13,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,2,0,1,0,1,0,0,0,14,2,7.0,0,1,0.5,0.5,104,0,0.0,22,1,0,0.4194,1,1,3.4657,2.6391,2.38,0,0,0,8,2,0,1
2017,7,27,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,0,1,0,1,0,0,0,11,1,11.0,0,1,0.5,0.4,32,0,0.0,2,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,4,2,0,0
2017,6,24,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,1,0,1,0,1,0,0,0,14,1,14.0,1,1,0.4,0.25,93,1,0.3,61,3,1,0.0,0,0,0.0,0.0,0.0,0,0,0,11,2,0,0
2017,6,24,1,3,58,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,15,2,7.5,1,1,0.4,0.25,93,1,0.3,5,5,1,0.0,0,1,4.0775,0.0,0.0,0,0,0,11,2,0,0
2017,6,23,2,4,0,699,0.0,0.0,0.0,0.0,0.0,6,3,0,1,1,1,0,2,0,2,0,0,1,19,2,9.5,0,1,0.5,0.4,32,0,0.0,12,6,1,0.0,1,0,0.0,6.5511,0.0,0,0,0,4,2,0,1
2017,5,19,1,4,9,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,2,0,2,0,0,1,17,3,5.7,1,1,0.9,0.9,165,1,0.3,61,17,1,0.3333,1,1,2.3026,1.3863,3.0,0,0,0,3,1,0,0
2017,4,17,2,4,0,693,0.0,0.0,0.0,0.0,0.0,5,3,0,0,1,1,0,2,0,2,0,0,1,16,2,8.0,0,1,0.5,0.4,32,0,0.0,12,6,1,0.0,1,0,0.0,6.5425,0.0,0,0,0,4,1,0,1
2017,3,13,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,7,1,7.0,1,1,0.65,0.55,108,1,0.3,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,14,1,0,0
2017,3,10,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,0,0,0,0,0,0,0,0,0,8,1,8.0,1,1,0.7,0.65,28,1,0.3,8,2,0,0.0,0,0,0.0,0.0,0.0,0,0,0,5,1,0,0
2017,2,8,2,4,0,17,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,0,0,6,1,6.0,0,1,0.5,0.5,104,1,0.3,7,1,0,0.0,1,0,0.0,2.8904,0.0,0,0,0,8,0,0,1
